   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 1.99387E+01	 1.99314E+01
 1.00000E-09	 1.99387E+01	 1.99314E+01
 1.00000E-09	 2.33095E+01	 2.33003E+01
 1.00000E-08	 2.33095E+01	 2.33003E+01
 1.00000E-08	 5.68694E+01	 5.68452E+01
 2.30000E-08	 5.68694E+01	 5.68452E+01
 2.30000E-08	 7.03628E+01	 7.03319E+01
 5.00000E-08	 7.03628E+01	 7.03319E+01
 5.00000E-08	 1.43365E+02	 1.43301E+02
 7.60000E-08	 1.43365E+02	 1.43301E+02
 7.60000E-08	 1.60162E+02	 1.60091E+02
 1.15000E-07	 1.60162E+02	 1.60091E+02
 1.15000E-07	 1.80224E+02	 1.80143E+02
 1.70000E-07	 1.80224E+02	 1.80143E+02
 1.70000E-07	 1.72215E+02	 1.72138E+02
 2.55000E-07	 1.72215E+02	 1.72138E+02
 2.55000E-07	 1.63142E+02	 1.63069E+02
 3.80000E-07	 1.63142E+02	 1.63069E+02
 3.80000E-07	 1.58950E+02	 1.58879E+02
 5.50000E-07	 1.58950E+02	 1.58879E+02
 5.50000E-07	 1.22510E+02	 1.22456E+02
 8.40000E-07	 1.22510E+02	 1.22456E+02
 8.40000E-07	 1.05974E+02	 1.05929E+02
 1.27500E-06	 1.05974E+02	 1.05929E+02
 1.27500E-06	 9.19763E+01	 9.19374E+01
 1.90000E-06	 9.19763E+01	 9.19374E+01
 1.90000E-06	 7.77189E+01	 7.76855E+01
 2.80000E-06	 7.77189E+01	 7.76855E+01
 2.80000E-06	 6.06018E+01	 6.05744E+01
 4.25000E-06	 6.06018E+01	 6.05744E+01
 4.25000E-06	 5.65322E+01	 5.65046E+01
 6.30000E-06	 5.65322E+01	 5.65046E+01
 6.30000E-06	 5.53849E+01	 5.53557E+01
 9.20000E-06	 5.53849E+01	 5.53557E+01
 9.20000E-06	 5.45470E+01	 5.45165E+01
 1.35000E-05	 5.45470E+01	 5.45165E+01
 1.35000E-05	 4.81775E+01	 4.81492E+01
 2.10000E-05	 4.81775E+01	 4.81492E+01
 2.10000E-05	 5.84001E+01	 5.83642E+01
 3.00000E-05	 5.84001E+01	 5.83642E+01
 3.00000E-05	 4.74979E+01	 4.74671E+01
 4.50000E-05	 4.74979E+01	 4.74671E+01
 4.50000E-05	 3.80078E+01	 3.79816E+01
 6.90000E-05	 3.80078E+01	 3.79816E+01
 6.90000E-05	 3.44033E+01	 3.43777E+01
 1.00000E-04	 3.44033E+01	 3.43777E+01
 1.00000E-04	 5.06273E+01	 5.05864E+01
 1.35000E-04	 5.06273E+01	 5.05864E+01
 1.35000E-04	 7.93361E+01	 7.92662E+01
 1.70000E-04	 7.93361E+01	 7.92662E+01
 1.70000E-04	 8.19520E+01	 8.18737E+01
 2.20000E-04	 8.19520E+01	 8.18737E+01
 2.20000E-04	 9.85176E+01	 9.84163E+01
 2.80000E-04	 9.85176E+01	 9.84163E+01
 2.80000E-04	 1.04979E+02	 1.04864E+02
 3.60000E-04	 1.04979E+02	 1.04864E+02
 3.60000E-04	 1.30280E+02	 1.30133E+02
 4.50000E-04	 1.30280E+02	 1.30133E+02
 4.50000E-04	 1.30744E+02	 1.30597E+02
 5.75000E-04	 1.30744E+02	 1.30597E+02
 5.75000E-04	 1.26991E+02	 1.26852E+02
 7.60000E-04	 1.26991E+02	 1.26852E+02
 7.60000E-04	 1.67803E+02	 1.67632E+02
 9.60000E-04	 1.67803E+02	 1.67632E+02
 9.60000E-04	 1.54332E+02	 1.54194E+02
 1.27500E-03	 1.54332E+02	 1.54194E+02
 1.27500E-03	 2.15905E+02	 2.15748E+02
 1.60000E-03	 2.15905E+02	 2.15748E+02
 1.60000E-03	 2.47942E+02	 2.47811E+02
 2.00000E-03	 2.47942E+02	 2.47811E+02
 2.00000E-03	 2.55753E+02	 2.55674E+02
 2.70000E-03	 2.55753E+02	 2.55674E+02
 2.70000E-03	 4.53359E+02	 4.53322E+02
 3.40000E-03	 4.53359E+02	 4.53322E+02
 3.40000E-03	 4.84551E+02	 4.84617E+02
 4.50000E-03	 4.84551E+02	 4.84617E+02
 4.50000E-03	 8.40907E+02	 8.41188E+02
 5.50000E-03	 8.40907E+02	 8.41188E+02
 5.50000E-03	 7.57870E+02	 7.58256E+02
 7.20000E-03	 7.57870E+02	 7.58256E+02
 7.20000E-03	 9.76371E+02	 9.77010E+02
 9.20000E-03	 9.76371E+02	 9.77010E+02
 9.20000E-03	 1.03280E+03	 1.03361E+03
 1.20000E-02	 1.03280E+03	 1.03361E+03
 1.20000E-02	 1.37727E+03	 1.37848E+03
 1.50000E-02	 1.37727E+03	 1.37848E+03
 1.50000E-02	 1.43260E+03	 1.43400E+03
 1.90000E-02	 1.43260E+03	 1.43400E+03
 1.90000E-02	 1.25088E+03	 1.25223E+03
 2.55000E-02	 1.25088E+03	 1.25223E+03
 2.55000E-02	 1.72902E+03	 1.73106E+03
 3.20000E-02	 1.72902E+03	 1.73106E+03
 3.20000E-02	 1.86171E+03	 1.86411E+03
 4.00000E-02	 1.86171E+03	 1.86411E+03
 4.00000E-02	 1.60585E+03	 1.60812E+03
 5.25000E-02	 1.60585E+03	 1.60812E+03
 5.25000E-02	 1.98681E+03	 1.98987E+03
 6.60000E-02	 1.98681E+03	 1.98987E+03
 6.60000E-02	 1.64708E+03	 1.64985E+03
 8.80000E-02	 1.64708E+03	 1.64985E+03
 8.80000E-02	 2.19989E+03	 2.20392E+03
 1.10000E-01	 2.19989E+03	 2.20392E+03
 1.10000E-01	 2.49391E+03	 2.49887E+03
 1.35000E-01	 2.49391E+03	 2.49887E+03
 1.35000E-01	 3.13989E+03	 3.14665E+03
 1.60000E-01	 3.13989E+03	 3.14665E+03
 1.60000E-01	 3.26901E+03	 3.27661E+03
 1.90000E-01	 3.26901E+03	 3.27661E+03
 1.90000E-01	 4.06745E+03	 4.07763E+03
 2.20000E-01	 4.06745E+03	 4.07763E+03
 2.20000E-01	 4.33196E+03	 4.34361E+03
 2.55000E-01	 4.33196E+03	 4.34361E+03
 2.55000E-01	 5.38603E+03	 5.40155E+03
 2.90000E-01	 5.38603E+03	 5.40155E+03
 2.90000E-01	 7.69108E+03	 7.71474E+03
 3.20000E-01	 7.69108E+03	 7.71474E+03
 3.20000E-01	 7.08421E+03	 7.10743E+03
 3.60000E-01	 7.08421E+03	 7.10743E+03
 3.60000E-01	 8.76503E+03	 8.79554E+03
 4.00000E-01	 8.76503E+03	 8.79554E+03
 4.00000E-01	 8.69756E+03	 8.72954E+03
 4.50000E-01	 8.69756E+03	 8.72954E+03
 4.50000E-01	 1.07568E+04	 1.07984E+04
 5.00000E-01	 1.07568E+04	 1.07984E+04
 5.00000E-01	 1.30874E+04	 1.31405E+04
 5.50000E-01	 1.30874E+04	 1.31405E+04
 5.50000E-01	 1.56379E+04	 1.57041E+04
 6.00000E-01	 1.56379E+04	 1.57041E+04
 6.00000E-01	 1.54150E+04	 1.54827E+04
 6.60000E-01	 1.54150E+04	 1.54827E+04
 6.60000E-01	 1.80144E+04	 1.80960E+04
 7.20000E-01	 1.80144E+04	 1.80960E+04
 7.20000E-01	 2.06730E+04	 2.07686E+04
 7.80000E-01	 2.06730E+04	 2.07686E+04
 7.80000E-01	 2.33913E+04	 2.35002E+04
 8.40000E-01	 2.33913E+04	 2.35002E+04
 8.40000E-01	 1.99117E+04	 2.00034E+04
 9.20000E-01	 1.99117E+04	 2.00034E+04
 9.20000E-01	 2.28078E+04	 2.29091E+04
