   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 1.24056E+01	 4.42678E+01
 1.00000E-09	 1.24056E+01	 4.42678E+01
 1.00000E-09	 1.89227E+00	 3.86339E+00
 1.00000E-08	 1.89227E+00	 3.86339E+00
 1.00000E-08	 1.92416E+01	 3.72619E+01
 2.30000E-08	 1.92416E+01	 3.72619E+01
 2.30000E-08	 4.32715E+01	 8.65062E+01
 5.00000E-08	 4.32715E+01	 8.65062E+01
 5.00000E-08	 5.79607E+01	 1.09804E+02
 7.60000E-08	 5.79607E+01	 1.09804E+02
 7.60000E-08	 4.15169E+01	 9.44350E+01
 1.15000E-07	 4.15169E+01	 9.44350E+01
 1.15000E-07	 3.54209E+01	 1.18773E+02
 1.70000E-07	 3.54209E+01	 1.18773E+02
 1.70000E-07	 1.30864E+01	 4.19149E+01
 2.55000E-07	 1.30864E+01	 4.19149E+01
 2.55000E-07	 9.91589E+00	 3.64854E+01
 3.80000E-07	 9.91589E+00	 3.64854E+01
 3.80000E-07	 1.00224E+01	 4.68700E+01
 5.50000E-07	 1.00224E+01	 4.68700E+01
 5.50000E-07	 7.91195E+00	 2.95770E+01
 8.40000E-07	 7.91195E+00	 2.95770E+01
 8.40000E-07	 1.18154E+01	 4.33119E+01
 1.27500E-06	 1.18154E+01	 4.33119E+01
 1.27500E-06	 7.25477E+00	 2.71312E+01
 1.90000E-06	 7.25477E+00	 2.71312E+01
 1.90000E-06	 7.69344E+00	 2.40649E+01
 2.80000E-06	 7.69344E+00	 2.40649E+01
 2.80000E-06	 1.30550E+01	 3.17789E+01
 4.25000E-06	 1.30550E+01	 3.17789E+01
 4.25000E-06	 1.29136E+01	 2.93050E+01
 6.30000E-06	 1.29136E+01	 2.93050E+01
 6.30000E-06	 1.18341E+01	 2.05040E+01
 9.20000E-06	 1.18341E+01	 2.05040E+01
 9.20000E-06	 1.85213E+01	 2.89242E+01
 1.35000E-05	 1.85213E+01	 2.89242E+01
 1.35000E-05	 1.92727E+01	 2.11860E+01
 2.10000E-05	 1.92727E+01	 2.11860E+01
 2.10000E-05	 1.77381E+01	 1.47834E+01
 3.00000E-05	 1.77381E+01	 1.47834E+01
 3.00000E-05	 1.39380E+01	 1.04514E+01
 4.50000E-05	 1.39380E+01	 1.04514E+01
 4.50000E-05	 2.65448E+01	 1.70406E+01
 6.90000E-05	 2.65448E+01	 1.70406E+01
 6.90000E-05	 2.50043E+01	 1.51503E+01
 1.00000E-04	 2.50043E+01	 1.51503E+01
 1.00000E-04	 2.39356E+01	 8.51548E+00
 1.35000E-04	 2.39356E+01	 8.51548E+00
 1.35000E-04	 1.38341E+01	 5.56389E+00
 1.70000E-04	 1.38341E+01	 5.56389E+00
 1.70000E-04	 1.30198E+01	 5.31905E+00
 2.20000E-04	 1.30198E+01	 5.31905E+00
 2.20000E-04	 2.85655E+01	 1.62471E+01
 2.80000E-04	 2.85655E+01	 1.62471E+01
 2.80000E-04	 1.52599E+01	 9.63304E+00
 3.60000E-04	 1.52599E+01	 9.63304E+00
 3.60000E-04	 2.73283E+01	 1.95429E+01
 4.50000E-04	 2.73283E+01	 1.95429E+01
