   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 3.82513E+01	 3.82242E+01
 1.00000E-09	 3.82513E+01	 3.82242E+01
 1.00000E-09	 4.76721E+00	 4.76428E+00
 1.00000E-08	 4.76721E+00	 4.76428E+00
 1.00000E-08	 5.60346E+01	 5.60044E+01
 2.30000E-08	 5.60346E+01	 5.60044E+01
 2.30000E-08	 1.31154E+02	 1.31092E+02
 5.00000E-08	 1.31154E+02	 1.31092E+02
 5.00000E-08	 1.72524E+02	 1.72455E+02
 7.60000E-08	 1.72524E+02	 1.72455E+02
 7.60000E-08	 1.15394E+02	 1.15355E+02
 1.15000E-07	 1.15394E+02	 1.15355E+02
 1.15000E-07	 8.73379E+01	 8.73122E+01
 1.70000E-07	 8.73379E+01	 8.73122E+01
 1.70000E-07	 5.81757E+01	 5.81604E+01
 2.55000E-07	 5.81757E+01	 5.81604E+01
 2.55000E-07	 4.49548E+01	 4.49437E+01
 3.80000E-07	 4.49548E+01	 4.49437E+01
 3.80000E-07	 2.88305E+01	 2.88232E+01
 5.50000E-07	 2.88305E+01	 2.88232E+01
 5.50000E-07	 1.46057E+01	 1.46016E+01
 8.40000E-07	 1.46057E+01	 1.46016E+01
 8.40000E-07	 1.37154E+01	 1.37106E+01
 1.27500E-06	 1.37154E+01	 1.37106E+01
 1.27500E-06	 1.52624E+01	 1.52557E+01
 1.90000E-06	 1.52624E+01	 1.52557E+01
 1.90000E-06	 1.88700E+01	 1.88593E+01
 2.80000E-06	 1.88700E+01	 1.88593E+01
 2.80000E-06	 1.76930E+01	 1.76800E+01
 4.25000E-06	 1.76930E+01	 1.76800E+01
 4.25000E-06	 1.65440E+01	 1.65284E+01
 6.30000E-06	 1.65440E+01	 1.65284E+01
 6.30000E-06	 2.68592E+01	 2.68270E+01
 9.20000E-06	 2.68592E+01	 2.68270E+01
 9.20000E-06	 1.72889E+01	 1.72613E+01
 1.35000E-05	 1.72889E+01	 1.72613E+01
 1.35000E-05	 8.92414E+00	 8.90463E+00
 2.10000E-05	 8.92414E+00	 8.90463E+00
 2.10000E-05	 1.56146E+01	 1.55671E+01
 3.00000E-05	 1.56146E+01	 1.55671E+01
 3.00000E-05	 1.81421E+01	 1.80667E+01
 4.50000E-05	 1.81421E+01	 1.80667E+01
 4.50000E-05	 7.93269E+00	 7.88884E+00
 6.90000E-05	 7.93269E+00	 7.88884E+00
 6.90000E-05	 1.59649E+01	 1.58507E+01
 1.00000E-04	 1.59649E+01	 1.58507E+01
 1.00000E-04	 1.10463E+01	 1.09484E+01
 1.35000E-04	 1.10463E+01	 1.09484E+01
 1.35000E-04	 5.60101E+00	 5.54201E+00
 1.70000E-04	 5.60101E+00	 5.54201E+00
 1.70000E-04	 4.71236E+00	 4.65539E+00
 2.20000E-04	 4.71236E+00	 4.65539E+00
 2.20000E-04	 5.01004E+00	 4.94269E+00
 2.80000E-04	 5.01004E+00	 4.94269E+00
 2.80000E-04	 9.35002E+00	 9.21414E+00
 3.60000E-04	 9.35002E+00	 9.21414E+00
 3.60000E-04	 1.08411E+01	 1.06749E+01
 4.50000E-04	 1.08411E+01	 1.06749E+01
 4.50000E-04	 6.52673E+00	 6.42328E+00
 5.75000E-04	 6.52673E+00	 6.42328E+00
 5.75000E-04	 6.55759E+00	 6.45201E+00
 7.60000E-04	 6.55759E+00	 6.45201E+00
 7.60000E-04	 1.67235E+01	 1.64555E+01
 9.60000E-04	 1.67235E+01	 1.64555E+01
 9.60000E-04	 7.83196E+00	 7.70905E+00
 1.27500E-03	 7.83196E+00	 7.70905E+00
 1.27500E-03	 5.92963E+00	 5.84035E+00
 1.60000E-03	 5.92963E+00	 5.84035E+00
 1.60000E-03	 5.45981E+00	 5.38281E+00
 2.00000E-03	 5.45981E+00	 5.38281E+00
 2.00000E-03	 1.21652E+01	 1.20090E+01
 2.70000E-03	 1.21652E+01	 1.20090E+01
 2.70000E-03	 1.17432E+01	 1.16101E+01
 3.40000E-03	 1.17432E+01	 1.16101E+01
