   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 8.50033E+00	 5.94389E+01
 1.35000E-05	 8.50033E+00	 5.94389E+01
 1.35000E-05	 0.00000E+00	 0.00000E+00
 2.10000E-05	 0.00000E+00	 0.00000E+00
 2.10000E-05	 0.00000E+00	 0.00000E+00
 3.00000E-05	 0.00000E+00	 0.00000E+00
 3.00000E-05	 0.00000E+00	 0.00000E+00
 4.50000E-05	 0.00000E+00	 0.00000E+00
 4.50000E-05	 2.32319E+00	 2.99998E+01
 6.90000E-05	 2.32319E+00	 2.99998E+01
 6.90000E-05	 1.38675E+01	 1.26168E+02
 1.00000E-04	 1.38675E+01	 1.26168E+02
 1.00000E-04	 3.69367E+01	 5.40001E+02
 1.35000E-04	 3.69367E+01	 5.40001E+02
 1.35000E-04	 2.24720E+01	 3.41133E+02
 1.70000E-04	 2.24720E+01	 3.41133E+02
 1.70000E-04	 0.00000E+00	 0.00000E+00
 2.20000E-04	 0.00000E+00	 0.00000E+00
 2.20000E-04	 1.36666E+01	 2.13595E+02
 2.80000E-04	 1.36666E+01	 2.13595E+02
 2.80000E-04	 6.51965E+00	 6.24651E+01
