   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 4.22291E-01	 4.22163E-01
 1.00000E-09	 4.22291E-01	 4.22163E-01
 1.00000E-09	 7.42299E+00	 7.42098E+00
 1.00000E-08	 7.42299E+00	 7.42098E+00
 1.00000E-08	 5.26410E+01	 5.26285E+01
 2.30000E-08	 5.26410E+01	 5.26285E+01
 2.30000E-08	 1.11806E+02	 1.11782E+02
 5.00000E-08	 1.11806E+02	 1.11782E+02
 5.00000E-08	 1.81916E+02	 1.81880E+02
 7.60000E-08	 1.81916E+02	 1.81880E+02
 7.60000E-08	 1.60469E+02	 1.60438E+02
 1.15000E-07	 1.60469E+02	 1.60438E+02
 1.15000E-07	 1.01142E+02	 1.01123E+02
 1.70000E-07	 1.01142E+02	 1.01123E+02
 1.70000E-07	 8.80069E+01	 8.79894E+01
 2.55000E-07	 8.80069E+01	 8.79894E+01
 2.55000E-07	 1.24023E+02	 1.23996E+02
 3.80000E-07	 1.24023E+02	 1.23996E+02
 3.80000E-07	 6.11775E+01	 6.11623E+01
 5.50000E-07	 6.11775E+01	 6.11623E+01
 5.50000E-07	 6.24197E+01	 6.24014E+01
 8.40000E-07	 6.24197E+01	 6.24014E+01
 8.40000E-07	 5.74622E+01	 5.74419E+01
 1.27500E-06	 5.74622E+01	 5.74419E+01
 1.27500E-06	 4.13452E+01	 4.13276E+01
 1.90000E-06	 4.13452E+01	 4.13276E+01
 1.90000E-06	 4.41698E+01	 4.41473E+01
 2.80000E-06	 4.41698E+01	 4.41473E+01
 2.80000E-06	 3.87137E+01	 3.86900E+01
 4.25000E-06	 3.87137E+01	 3.86900E+01
 4.25000E-06	 2.55026E+01	 2.54842E+01
 6.30000E-06	 2.55026E+01	 2.54842E+01
 6.30000E-06	 2.22538E+01	 2.22351E+01
 9.20000E-06	 2.22538E+01	 2.22351E+01
 9.20000E-06	 1.63983E+01	 1.63825E+01
 1.35000E-05	 1.63983E+01	 1.63825E+01
 1.35000E-05	 1.25891E+01	 1.25753E+01
 2.10000E-05	 1.25891E+01	 1.25753E+01
 2.10000E-05	 6.94264E+00	 6.93384E+00
 3.00000E-05	 6.94264E+00	 6.93384E+00
 3.00000E-05	 8.76499E+00	 8.75317E+00
 4.50000E-05	 8.76499E+00	 8.75317E+00
 4.50000E-05	 8.06422E+00	 8.05240E+00
 6.90000E-05	 8.06422E+00	 8.05240E+00
 6.90000E-05	 9.22528E+00	 9.21080E+00
 1.00000E-04	 9.22528E+00	 9.21080E+00
 1.00000E-04	 4.32763E+00	 4.31954E+00
 1.35000E-04	 4.32763E+00	 4.31954E+00
 1.35000E-04	 3.66061E+00	 3.65385E+00
 1.70000E-04	 3.66061E+00	 3.65385E+00
 1.70000E-04	 4.71194E+00	 4.70340E+00
 2.20000E-04	 4.71194E+00	 4.70340E+00
 2.20000E-04	 4.74084E+00	 4.73225E+00
 2.80000E-04	 4.74084E+00	 4.73225E+00
 2.80000E-04	 6.96039E+00	 6.94802E+00
 3.60000E-04	 6.96039E+00	 6.94802E+00
 3.60000E-04	 6.40034E+00	 6.38843E+00
 4.50000E-04	 6.40034E+00	 6.38843E+00
 4.50000E-04	 6.55327E+00	 6.54178E+00
 5.75000E-04	 6.55327E+00	 6.54178E+00
 5.75000E-04	 1.46913E+01	 1.46693E+01
 7.60000E-04	 1.46913E+01	 1.46693E+01
 7.60000E-04	 8.28954E+00	 8.27625E+00
 9.60000E-04	 8.28954E+00	 8.27625E+00
 9.60000E-04	 1.15856E+01	 1.15670E+01
 1.27500E-03	 1.15856E+01	 1.15670E+01
 1.27500E-03	 2.65163E+01	 2.64839E+01
 1.60000E-03	 2.65163E+01	 2.64839E+01
 1.60000E-03	 3.70416E+01	 3.69997E+01
 2.00000E-03	 3.70416E+01	 3.69997E+01
 2.00000E-03	 5.62015E+01	 5.61441E+01
 2.70000E-03	 5.62015E+01	 5.61441E+01
 2.70000E-03	 8.61619E+01	 8.60847E+01
 3.40000E-03	 8.61619E+01	 8.60847E+01
 3.40000E-03	 1.36361E+02	 1.36253E+02
 4.50000E-03	 1.36361E+02	 1.36253E+02
 4.50000E-03	 1.71429E+02	 1.71292E+02
 5.50000E-03	 1.71429E+02	 1.71292E+02
 5.50000E-03	 2.92138E+02	 2.91944E+02
 7.20000E-03	 2.92138E+02	 2.91944E+02
 7.20000E-03	 3.83119E+02	 3.82884E+02
 9.20000E-03	 3.83119E+02	 3.82884E+02
 9.20000E-03	 7.59978E+02	 7.59543E+02
 1.20000E-02	 7.59978E+02	 7.59543E+02
