   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 4.32738E+00	 9.61573E+00
 1.00000E-08	 4.32738E+00	 9.61573E+00
 1.00000E-08	 1.83895E+01	 3.01619E+01
 2.30000E-08	 1.83895E+01	 3.01619E+01
 2.30000E-08	 8.61971E+01	 1.40873E+02
 5.00000E-08	 8.61971E+01	 1.40873E+02
 5.00000E-08	 1.00937E+02	 1.78018E+02
 7.60000E-08	 1.00937E+02	 1.78018E+02
 7.60000E-08	 8.58538E+01	 1.48388E+02
 1.15000E-07	 8.58538E+01	 1.48388E+02
 1.15000E-07	 6.35770E+01	 1.32263E+02
 1.70000E-07	 6.35770E+01	 1.32263E+02
 1.70000E-07	 3.81338E+01	 9.18382E+01
 2.55000E-07	 3.81338E+01	 9.18382E+01
 2.55000E-07	 1.89036E+01	 4.46656E+01
 3.80000E-07	 1.89036E+01	 4.46656E+01
 3.80000E-07	 7.26544E+01	 2.28703E+02
 5.50000E-07	 7.26544E+01	 2.28703E+02
 5.50000E-07	 2.46576E+01	 5.20363E+01
 8.40000E-07	 2.46576E+01	 5.20363E+01
 8.40000E-07	 3.80966E+01	 7.93716E+01
 1.27500E-06	 3.80966E+01	 7.93716E+01
 1.27500E-06	 3.64179E+01	 7.66231E+01
 1.90000E-06	 3.64179E+01	 7.66231E+01
 1.90000E-06	 3.19286E+01	 6.30054E+01
 2.80000E-06	 3.19286E+01	 6.30054E+01
 2.80000E-06	 2.26313E+01	 4.14047E+01
 4.25000E-06	 2.26313E+01	 4.14047E+01
 4.25000E-06	 3.26520E+01	 4.79545E+01
 6.30000E-06	 3.26520E+01	 4.79545E+01
 6.30000E-06	 2.05027E+01	 2.93551E+01
 9.20000E-06	 2.05027E+01	 2.93551E+01
 9.20000E-06	 2.39768E+01	 3.04537E+01
 1.35000E-05	 2.39768E+01	 3.04537E+01
 1.35000E-05	 2.80032E+01	 3.44412E+01
 2.10000E-05	 2.80032E+01	 3.44412E+01
 2.10000E-05	 6.08153E+01	 6.71488E+01
 3.00000E-05	 6.08153E+01	 6.71488E+01
 3.00000E-05	 4.99012E+01	 4.91716E+01
 4.50000E-05	 4.99012E+01	 4.91716E+01
 4.50000E-05	 5.47897E+01	 5.21852E+01
 6.90000E-05	 5.47897E+01	 5.21852E+01
 6.90000E-05	 7.57792E+01	 6.94770E+01
 1.00000E-04	 7.57792E+01	 6.94770E+01
 1.00000E-04	 5.13851E+01	 4.60724E+01
 1.35000E-04	 5.13851E+01	 4.60724E+01
 1.35000E-04	 5.39915E+01	 4.65944E+01
 1.70000E-04	 5.39915E+01	 4.65944E+01
 1.70000E-04	 6.81952E+01	 5.98077E+01
 2.20000E-04	 6.81952E+01	 5.98077E+01
 2.20000E-04	 9.89357E+01	 8.86695E+01
 2.80000E-04	 9.89357E+01	 8.86695E+01
 2.80000E-04	 4.45320E+01	 3.99132E+01
