  UMG package, version 3.3, release date: March 1, 2004

  Deconvolution Using the MAXED (Maximum Entropy) Algorithm
  =========================================================

  File with Input Data : m16d.phs                                

  File with Default Spectrum         : m16d_in.flu                             
  Default Spectrum Fluence Format    : fluence rate per bin
  Energy of Default Sp.  in Units of : MeV

  File with Response Function        : n_resp.rsp                              
  Response Functions     in Units of :     cm^2
  Energy of Final Spect. in Units of : MeV

  Chi-squared P.D.F. Using the Default Spectrum     = 9.706044E+04
  Final Chi-squared P.D.F.                          = 6.918453E+04
  NOTE: Chi-squared Per Degree of Freedom was set to:    1.000


  *** RESULTS FOR THE FINAL SPECTRUM: ***

       DN              M             C     (C-M)/S     (C-M)/M
        1   3.142100E+06  4.286009E+05  **********    -0.86359
        2   5.194100E+05  9.153464E+04  -593.69413    -0.82377
        3   3.293200E+05  8.440481E+04  -426.77817    -0.74370
        4   2.435000E+05  8.960494E+04  -311.87569    -0.63201
        5   1.822900E+05  8.288559E+04  -232.82448    -0.54531
        6   1.483500E+05  6.235514E+04  -223.27049    -0.57968
        7   1.223400E+05  2.753538E+04  -271.04070    -0.77493
        8   1.022000E+05  3.604695E+03  -308.40910    -0.96473
        9   8.446000E+04  3.802332E+01  -290.48922    -0.99955
       10   7.031500E+04  2.260180E+01  -265.08428    -0.99968
       11   5.890000E+04  9.479443E-75  -242.69644    -1.00000
       12   5.157100E+04  7.530413E+00  -227.06182    -0.99985
       13   4.263800E+04  1.506457E+01  -206.41646    -0.99965
       14   3.503600E+04  1.506757E+01  -187.09762    -0.99957
       15   3.087600E+04  1.506757E+01  -175.62561    -0.99951
       16   2.600700E+04  7.535658E+00  -161.21699    -0.99971
       17   2.371900E+04  7.533785E+00  -153.96056    -0.99968
       18   1.990600E+04  1.123886E-03  -141.08724    -1.00000
       19   1.733200E+04  7.529289E+00  -131.59492    -0.99957
       20   1.499300E+04  7.533785E+00  -122.38029    -0.99950
       21   1.293600E+04  7.533785E+00  -113.66684    -0.99942
       22   1.055000E+04  3.371659E-03  -102.71635    -1.00000
       23   9.048000E+03  4.154008E-76   -95.12095    -1.00000
       24   7.687000E+03  3.178234E-76   -87.67508    -1.00000
       25   6.563000E+03  2.503234E-76   -81.01269    -1.00000
       26   5.571000E+03  1.975907E-76   -74.63926    -1.00000
       27   4.866000E+03  1.519454E-76   -69.75644    -1.00000
       28   3.920000E+03  1.185436E-76   -62.60981    -1.00000
       29   3.620000E+03  1.015655E-76   -60.16687    -1.00000
       30   3.094000E+03  7.249757E-77   -55.62347    -1.00000
       31   2.617000E+03  5.688687E-77   -51.15624    -1.00000
       32   2.137000E+03  4.348087E-77   -46.22739    -1.00000
       33   1.793000E+03  3.410394E-77   -42.34366    -1.00000
       34   1.494000E+03  2.349745E-77   -38.65259    -1.00000
       35   1.274000E+03  1.841029E-77   -35.69327    -1.00000
