   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 7.24162E-14	 7.78539E-14
 1.90000E-06	 7.24162E-14	 7.78539E-14
 1.90000E-06	 1.56992E-13	 1.67926E-13
 2.80000E-06	 1.56992E-13	 1.67926E-13
 2.80000E-06	 2.75525E-13	 2.91452E-13
 4.25000E-06	 2.75525E-13	 2.91452E-13
 4.25000E-06	 3.10748E-13	 3.31470E-13
 6.30000E-06	 3.10748E-13	 3.31470E-13
 6.30000E-06	 5.73030E-13	 6.11707E-13
 9.20000E-06	 5.73030E-13	 6.11707E-13
 9.20000E-06	 5.38184E-12	 5.60457E-12
 1.35000E-05	 5.38184E-12	 5.60457E-12
 1.35000E-05	 3.04439E-10	 3.11973E-10
 2.10000E-05	 3.04439E-10	 3.11973E-10
 2.10000E-05	 5.75047E-10	 5.89302E-10
 3.00000E-05	 5.75047E-10	 5.89302E-10
 3.00000E-05	 4.49323E-10	 4.60517E-10
 4.50000E-05	 4.49323E-10	 4.60517E-10
 4.50000E-05	 5.29619E-10	 5.42835E-10
 6.90000E-05	 5.29619E-10	 5.42835E-10
 6.90000E-05	 7.20768E-10	 7.38793E-10
 1.00000E-04	 7.20768E-10	 7.38793E-10
 1.00000E-04	 8.56842E-10	 8.78393E-10
 1.35000E-04	 8.56842E-10	 8.78393E-10
 1.35000E-04	 9.56782E-10	 9.81199E-10
 1.70000E-04	 9.56782E-10	 9.81199E-10
 1.70000E-04	 7.02395E-10	 7.20411E-10
 2.20000E-04	 7.02395E-10	 7.20411E-10
 2.20000E-04	 9.36119E-10	 9.60193E-10
 2.80000E-04	 9.36119E-10	 9.60193E-10
 2.80000E-04	 9.15783E-10	 9.39618E-10
