   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 2.34990E-14	 2.29086E-14
 1.27500E-06	 2.34990E-14	 2.29086E-14
 1.27500E-06	 7.38395E-14	 7.19354E-14
 1.90000E-06	 7.38395E-14	 7.19354E-14
 1.90000E-06	 1.15335E-13	 1.12365E-13
 2.80000E-06	 1.15335E-13	 1.12365E-13
 2.80000E-06	 6.91735E-13	 6.74059E-13
 4.25000E-06	 6.91735E-13	 6.74059E-13
 4.25000E-06	 1.96922E-13	 1.91828E-13
 6.30000E-06	 1.96922E-13	 1.91828E-13
 6.30000E-06	 2.46793E-12	 2.40376E-12
 9.20000E-06	 2.46793E-12	 2.40376E-12
 9.20000E-06	 5.39572E-12	 5.25924E-12
 1.35000E-05	 5.39572E-12	 5.25924E-12
 1.35000E-05	 1.03720E-11	 1.01152E-11
 2.10000E-05	 1.03720E-11	 1.01152E-11
 2.10000E-05	 1.25442E-11	 1.22335E-11
 3.00000E-05	 1.25442E-11	 1.22335E-11
 3.00000E-05	 1.56910E-11	 1.53021E-11
 4.50000E-05	 1.56910E-11	 1.53021E-11
 4.50000E-05	 4.09866E-11	 3.99700E-11
 6.90000E-05	 4.09866E-11	 3.99700E-11
 6.90000E-05	 5.04007E-11	 4.91496E-11
 1.00000E-04	 5.04007E-11	 4.91496E-11
 1.00000E-04	 8.03516E-11	 7.83546E-11
 1.35000E-04	 8.03516E-11	 7.83546E-11
 1.35000E-04	 1.10105E-10	 1.07362E-10
 1.70000E-04	 1.10105E-10	 1.07362E-10
 1.70000E-04	 1.76273E-10	 1.71874E-10
 2.20000E-04	 1.76273E-10	 1.71874E-10
 2.20000E-04	 2.19143E-10	 2.13665E-10
 2.80000E-04	 2.19143E-10	 2.13665E-10
 2.80000E-04	 3.60764E-10	 3.51719E-10
