SC45G   IFX  1.000E+01 140SCNG   4.00530E+22
 6.8145904E-01 8.5220215E-01 9.2396613E-01 9.4431162E-01 9.5652620E-01 9.6472828E-01
 9.6818839E-01 9.7310324E-01 9.7714780E-01 9.8061657E-01 9.8349295E-01 9.8618675E-01
 9.8843619E-01 9.9026237E-01 9.9186837E-01 9.9322507E-01 9.9430659E-01 9.9522833E-01
 9.9613730E-01 9.9686085E-01 9.9749134E-01 9.9807020E-01 9.9854719E-01 9.9888075E-01
 9.9911786E-01 9.9930564E-01 9.9959592E-01 1.0000000E+00 1.0000000E+00 9.8912110E-01
 1.0000000E+00 1.0000000E+00 9.9236025E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 9.9173807E-01 9.9316176E-01 9.9931280E-01 9.9755683E-01 9.9822806E-01 9.9424935E-01
 9.9933923E-01 9.9928289E-01 9.9916463E-01 1.0000000E+00 9.9955945E-01 9.9978473E-01
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
FE58G   BFX  2.000E+01 140FE2B   8.48675E+22
 9.7128784E-01 9.9096882E-01 9.9635620E-01 9.9755683E-01 9.9821287E-01 9.9862110E-01
 9.9878526E-01 9.9901004E-01 9.9918732E-01 9.9933297E-01 9.9944896E-01 9.9955343E-01
 9.9963708E-01 9.9970236E-01 9.9975742E-01 9.9980225E-01 9.9983630E-01 9.9986423E-01
 9.9989044E-01 9.9991019E-01 9.9992655E-01 9.9994078E-01 9.9998518E-01 1.0000000E+00
 1.0000000E+00 1.0000000E+00 9.7025642E-01 9.0345228E-01 9.8365118E-01 1.0000000E+00
 1.0000000E+00 1.0000000E+00 9.9746915E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 9.9126671E-01 1.0000000E+00 9.9911218E-01
 1.0000000E+00 9.9990190E-01 9.9988479E-01 9.9993432E-01 1.0000000E+00 9.9993454E-01
 1.0000000E+00 9.9992950E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
FE58G   BWX  2.000E+01 140FE2A   8.48675E+22
 9.7556481E-01 9.9231827E-01 9.9688369E-01 9.9789232E-01 9.9843752E-01 9.9877084E-01
 9.9890212E-01 9.9907781E-01 9.9921041E-01 9.9931234E-01 9.9938512E-01 9.9943942E-01
 9.9946859E-01 9.9947506E-01 9.9945987E-01 9.9942230E-01 9.9936595E-01 9.9928787E-01
 9.9916630E-01 9.9902172E-01 9.9883384E-01 9.9857989E-01 9.9953517E-01 1.0000000E+00
 1.0000000E+00 1.0000000E+00 9.7466281E-01 9.1729906E-01 9.8603124E-01 1.0000000E+00
 1.0000000E+00 1.0000000E+00 9.9780623E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 9.9256477E-01 1.0000000E+00 9.9905421E-01
 1.0000000E+00 9.9930061E-01 9.9934025E-01 9.9880632E-01 1.0000000E+00 9.9939032E-01
 1.0000000E+00 9.9945977E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
