   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 2.24097E-11	 2.06325E-11
 1.27500E-06	 2.24097E-11	 2.06325E-11
 1.27500E-06	 1.41085E-11	 1.22367E-11
 1.90000E-06	 1.41085E-11	 1.22367E-11
 1.90000E-06	 1.63704E-10	 1.52932E-10
 2.80000E-06	 1.63704E-10	 1.52932E-10
 2.80000E-06	 1.67325E-10	 1.59641E-10
 4.25000E-06	 1.67325E-10	 1.59641E-10
 4.25000E-06	 1.51724E-10	 1.44011E-10
 6.30000E-06	 1.51724E-10	 1.44011E-10
 6.30000E-06	 3.18180E-10	 2.93937E-10
 9.20000E-06	 3.18180E-10	 2.93937E-10
 9.20000E-06	 2.60642E-09	 2.27016E-09
 1.35000E-05	 2.60642E-09	 2.27016E-09
 1.35000E-05	 3.29776E-09	 2.87266E-09
 2.10000E-05	 3.29776E-09	 2.87266E-09
 2.10000E-05	 3.22396E-09	 2.87310E-09
 3.00000E-05	 3.22396E-09	 2.87310E-09
 3.00000E-05	 3.37453E-09	 2.95270E-09
 4.50000E-05	 3.37453E-09	 2.95270E-09
 4.50000E-05	 3.26612E-09	 2.87248E-09
 6.90000E-05	 3.26612E-09	 2.87248E-09
 6.90000E-05	 3.75654E-09	 3.32317E-09
 1.00000E-04	 3.75654E-09	 3.32317E-09
 1.00000E-04	 3.41339E-09	 2.98545E-09
 1.35000E-04	 3.41339E-09	 2.98545E-09
 1.35000E-04	 3.06450E-09	 2.67470E-09
 1.70000E-04	 3.06450E-09	 2.67470E-09
 1.70000E-04	 4.11771E-09	 3.57909E-09
 2.20000E-04	 4.11771E-09	 3.57909E-09
 2.20000E-04	 4.19985E-09	 3.65950E-09
 2.80000E-04	 4.19985E-09	 3.65950E-09
 2.80000E-04	 3.98497E-09	 3.51051E-09
