   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 4.47005E-14	 4.24607E-14
 1.90000E-06	 4.47005E-14	 4.24607E-14
 1.90000E-06	 5.19976E-14	 4.76702E-14
 2.80000E-06	 5.19976E-14	 4.76702E-14
 2.80000E-06	 4.91211E-14	 4.53418E-14
 4.25000E-06	 4.91211E-14	 4.53418E-14
 4.25000E-06	 3.90761E-12	 3.60241E-12
 6.30000E-06	 3.90761E-12	 3.60241E-12
 6.30000E-06	 1.78322E-10	 1.69482E-10
 9.20000E-06	 1.78322E-10	 1.69482E-10
 9.20000E-06	 2.49286E-09	 2.44658E-09
 1.35000E-05	 2.49286E-09	 2.44658E-09
 1.35000E-05	 2.83271E-09	 2.78637E-09
 2.10000E-05	 2.83271E-09	 2.78637E-09
 2.10000E-05	 2.95759E-09	 2.90963E-09
 3.00000E-05	 2.95759E-09	 2.90963E-09
 3.00000E-05	 3.17145E-09	 3.12241E-09
 4.50000E-05	 3.17145E-09	 3.12241E-09
 4.50000E-05	 3.50270E-09	 3.44961E-09
 6.90000E-05	 3.50270E-09	 3.44961E-09
 6.90000E-05	 3.55071E-09	 3.49717E-09
 1.00000E-04	 3.55071E-09	 3.49717E-09
 1.00000E-04	 3.69706E-09	 3.64198E-09
 1.35000E-04	 3.69706E-09	 3.64198E-09
 1.35000E-04	 3.69199E-09	 3.63717E-09
 1.70000E-04	 3.69199E-09	 3.63717E-09
 1.70000E-04	 4.23418E-09	 4.17208E-09
 2.20000E-04	 4.23418E-09	 4.17208E-09
 2.20000E-04	 4.21157E-09	 4.15012E-09
 2.80000E-04	 4.21157E-09	 4.15012E-09
 2.80000E-04	 4.66962E-09	 4.60169E-09
