      CAPT =   1.27315E-05 D     = 1.10000E+00 S
 CALC_CAPT =   1.15741E-05 D     = 1.00000E+00 S
     XPROD =   5.78704E+10 Qty×D = 5.00000E+15 Qty×S
     AVGBM =   5.00000E+15 Qty

NUCLIDE     HALF-LIFE -    LAMBDA     EFF_FLUX      B_EFF     B_CONST   RATIO
(--)        (varies) (un)   (1/D)       (Qty)       (--)        (--)     (--)
2-He-4     Infinity   S  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00 1.000
9-F-18     6.5848E+03 S  9.0949E+00  5.2630E+11  1.0526E-04  1.0526E-04 1.000
11-Na-22   8.2135E+07 S  7.2914E-04  4.2196E+07  8.4391E-09  8.4391E-09 1.000
11-Na-24   5.3824E+04 S  1.1127E+00  6.4390E+10  1.2878E-05  1.2878E-05 1.000
12-Mg-27   5.6748E+02 S  1.0553E+02  6.1035E+12  1.2207E-03  1.2207E-03 1.000
14-Si-31   9.4380E+03 S  6.3454E+00  3.6720E+11  7.3439E-05  7.3439E-05 1.000
15-P-32    1.2322E+06 S  4.8601E-02  2.8126E+09  5.6251E-07  5.6251E-07 1.000
21-Sc-46   7.2395E+06 S  8.2724E-03  4.7873E+08  9.5746E-08  9.5746E-08 1.000
22-Ti-45   1.1088E+04 S  5.4011E+00  3.1256E+11  6.2511E-05  6.2511E-05 1.000
21-Sc-47   2.8937E+05 S  2.0696E-01  1.1977E+10  2.3954E-06  2.3954E-06 1.000
21-Sc-48   1.5721E+05 S  3.8094E-01  2.2045E+10  4.4090E-06  4.4090E-06 1.000
24-Cr-51   2.3935E+06 S  2.5021E-02  1.4480E+09  2.8960E-07  2.8960E-07 1.000
25-Mn-56   9.2840E+03 S  6.4506E+00  3.7329E+11  7.4657E-05  7.4657E-05 1.000
26-Fe-53   5.1060E+02 S  1.1729E+02  6.7830E+12  1.3566E-03  1.3566E-03 1.000
25-Mn-54   2.6967E+07 S  2.2208E-03  1.2852E+08  2.5703E-08  2.5703E-08 1.000
26-Fe-59   3.8444E+06 S  1.5578E-02  9.0151E+08  1.8030E-07  1.8030E-07 1.000
27-Co-58   6.1223E+06 S  9.7819E-03  5.6608E+08  1.1322E-07  1.1322E-07 1.000
27-Co-60   1.6634E+08 S  3.6002E-04  2.0835E+07  4.1669E-09  4.1669E-09 1.000
28-Ni-57   1.2816E+05 S  4.6729E-01  2.7042E+10  5.4084E-06  5.4084E-06 1.000
29-Cu-62   5.8020E+02 S  1.0322E+02  5.9698E+12  1.1940E-03  1.1940E-03 1.000
29-Cu-64   4.5720E+04 S  1.3099E+00  7.5803E+10  1.5161E-05  1.5161E-05 1.000
33-As-74   1.5353E+06 S  3.9007E-02  2.2573E+09  4.5147E-07  4.5147E-07 1.000
39-Y-88    9.2116E+06 S  6.5013E-03  3.7624E+08  7.5247E-08  7.5247E-08 1.000
40-Zr-89   2.8228E+05 S  2.1216E-01  1.2278E+10  2.4556E-06  2.4556E-06 1.000
41-Nb-94   6.4062E+11 S  9.3484E-08  5.4123E+03  1.0825E-12  1.0820E-12 1.000
41-Nb-93m  5.0902E+08 S  1.1765E-04  6.8086E+06  1.3617E-09  1.3617E-09 1.000
41-Nb-92m  8.7696E+05 S  6.8290E-02  3.9520E+09  7.9040E-07  7.9040E-07 1.000
45-Rh-103m 3.3668E+03 S  1.7788E+01  1.0293E+12  2.0585E-04  2.0585E-04 1.000
47-Ag-110m 2.1579E+07 S  2.7753E-03  1.6060E+08  3.2121E-08  3.2121E-08 1.000
49-In-115m 1.6150E+04 S  3.7083E+00  2.1460E+11  4.2919E-05  4.2919E-05 1.000
49-In-114m 4.2777E+06 S  1.4000E-02  8.1019E+08  1.6204E-07  1.6204E-07 1.000
49-In-116m 3.2574E+03 S  1.8385E+01  1.0638E+12  2.1277E-04  2.1277E-04 1.000
53-I-126   1.1172E+06 S  5.3608E-02  3.1023E+09  6.2046E-07  6.2046E-07 1.000
57-La-140  1.4499E+05 S  4.1305E-01  2.3904E+10  4.7807E-06  4.7807E-06 1.000
59-Pr-140  2.0340E+02 S  2.9443E+02  1.7010E+13  3.4020E-03  3.4020E-03 1.000
69-Tm-168  8.0438E+06 S  7.4452E-03  4.3086E+08  8.6171E-08  8.6171E-08 1.000
73-Ta-182  9.8868E+06 S  6.0574E-03  3.5054E+08  7.0109E-08  7.0109E-08 1.000
74-W-187   8.5392E+04 S  7.0133E-01  4.0586E+10  8.1172E-06  8.1172E-06 1.000
79-Au-196  5.3282E+05 S  1.1240E-01  6.5045E+09  1.3009E-06  1.3009E-06 1.000
79-Au-198  2.3290E+05 S  2.5714E-01  1.4881E+10  2.9762E-06  2.9762E-06 1.000
80-Hg-199m 2.5602E+03 S  2.3392E+01  1.3535E+12  2.7070E-04  2.7070E-04 1.000
82-Pb-204m 4.1040E+03 S  1.4593E+01  8.4441E+11  1.6888E-04  1.6888E-04 1.000
40-Zr-95   5.5324E+06 S  1.0825E-02  6.2645E+08  1.2529E-07  1.2529E-07 1.000
90-Th-233  1.3098E+03 S  4.5723E+01  2.6453E+12  5.2906E-04  5.2906E-04 1.000
92-U-239   1.4070E+03 S  4.2564E+01  2.4626E+12  4.9252E-04  4.9252E-04 1.000
