   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 5.50000E-07	 2.21443E+04	 1.78242E+04
 8.40000E-07	 2.21443E+04	 1.78242E+04
 8.40000E-07	 5.60970E+04	 4.51529E+04
 1.27500E-06	 5.60970E+04	 4.51529E+04
 1.27500E-06	 5.63960E+04	 4.53936E+04
 1.90000E-06	 5.63960E+04	 4.53936E+04
 1.90000E-06	 5.54109E+04	 4.46007E+04
 2.80000E-06	 5.54109E+04	 4.46007E+04
 2.80000E-06	 5.24875E+04	 4.22477E+04
 4.25000E-06	 5.24875E+04	 4.22477E+04
 4.25000E-06	 4.85650E+04	 3.90904E+04
 6.30000E-06	 4.85650E+04	 3.90904E+04
 6.30000E-06	 4.71800E+04	 3.79756E+04
 9.20000E-06	 4.71800E+04	 3.79756E+04
 9.20000E-06	 4.97775E+04	 4.00664E+04
 1.35000E-05	 4.97775E+04	 4.00664E+04
 1.35000E-05	 5.38415E+04	 4.33375E+04
 2.10000E-05	 5.38415E+04	 4.33375E+04
 2.10000E-05	 5.37628E+04	 4.32742E+04
 3.00000E-05	 5.37628E+04	 4.32742E+04
 3.00000E-05	 5.12285E+04	 4.12343E+04
 4.50000E-05	 5.12285E+04	 4.12343E+04
 4.50000E-05	 4.97019E+04	 4.00055E+04
 6.90000E-05	 4.97019E+04	 4.00055E+04
 6.90000E-05	 5.95174E+04	 4.79061E+04
 1.00000E-04	 5.95174E+04	 4.79061E+04
 1.00000E-04	 8.54384E+04	 6.87702E+04
 1.35000E-04	 8.54384E+04	 6.87702E+04
 1.35000E-04	 1.13715E+05	 9.15302E+04
 1.70000E-04	 1.13715E+05	 9.15302E+04
 1.70000E-04	 1.75619E+05	 1.41357E+05
 2.20000E-04	 1.75619E+05	 1.41357E+05
 2.20000E-04	 3.44587E+05	 2.77361E+05
 2.80000E-04	 3.44587E+05	 2.77361E+05
 2.80000E-04	 7.29128E+05	 5.86881E+05
 3.60000E-04	 7.29128E+05	 5.86881E+05
 3.60000E-04	 1.37877E+06	 1.10978E+06
 4.50000E-04	 1.37877E+06	 1.10978E+06
 4.50000E-04	 1.90386E+06	 1.53244E+06
 5.75000E-04	 1.90386E+06	 1.53244E+06
 5.75000E-04	 2.15310E+06	 1.73305E+06
 7.60000E-04	 2.15310E+06	 1.73305E+06
 7.60000E-04	 2.40859E+06	 1.93870E+06
 9.60000E-04	 2.40859E+06	 1.93870E+06
 9.60000E-04	 2.69639E+06	 2.17035E+06
 1.27500E-03	 2.69639E+06	 2.17035E+06
 1.27500E-03	 2.96938E+06	 2.39008E+06
 1.60000E-03	 2.96938E+06	 2.39008E+06
 1.60000E-03	 3.24586E+06	 2.61263E+06
 2.00000E-03	 3.24586E+06	 2.61263E+06
 2.00000E-03	 3.72339E+06	 2.99699E+06
 2.70000E-03	 3.72339E+06	 2.99699E+06
 2.70000E-03	 4.40586E+06	 3.54632E+06
 3.40000E-03	 4.40586E+06	 3.54632E+06
 3.40000E-03	 5.34918E+06	 4.30560E+06
 4.50000E-03	 5.34918E+06	 4.30560E+06
 4.50000E-03	 6.36855E+06	 5.12610E+06
 5.50000E-03	 6.36855E+06	 5.12610E+06
 5.50000E-03	 7.89214E+06	 6.35245E+06
 7.20000E-03	 7.89214E+06	 6.35245E+06
 7.20000E-03	 1.17340E+07	 9.44482E+06
 9.20000E-03	 1.17340E+07	 9.44482E+06
 9.20000E-03	 1.99649E+07	 1.60699E+07
 1.20000E-02	 1.99649E+07	 1.60699E+07
 1.20000E-02	 3.29292E+07	 2.65050E+07
 1.50000E-02	 3.29292E+07	 2.65050E+07
 1.50000E-02	 9.13862E+07	 7.35576E+07
 1.90000E-02	 9.13862E+07	 7.35576E+07
 1.90000E-02	 2.30887E+08	 1.85843E+08
 2.55000E-02	 2.30887E+08	 1.85843E+08
 2.55000E-02	 2.31091E+08	 1.86007E+08
 3.20000E-02	 2.31091E+08	 1.86007E+08
 3.20000E-02	 1.56377E+08	 1.25869E+08
 4.00000E-02	 1.56377E+08	 1.25869E+08
 4.00000E-02	 2.37718E+08	 1.91342E+08
 5.25000E-02	 2.37718E+08	 1.91342E+08
 5.25000E-02	 2.55975E+08	 2.06036E+08
 6.60000E-02	 2.55975E+08	 2.06036E+08
 6.60000E-02	 2.85468E+08	 2.29775E+08
 8.80000E-02	 2.85468E+08	 2.29775E+08
 8.80000E-02	 5.66513E+08	 4.55992E+08
 1.10000E-01	 5.66513E+08	 4.55992E+08
 1.10000E-01	 1.40319E+09	 1.12944E+09
 1.35000E-01	 1.40319E+09	 1.12944E+09
 1.35000E-01	 1.97233E+09	 1.58755E+09
 1.60000E-01	 1.97233E+09	 1.58755E+09
 1.60000E-01	 1.78145E+09	 1.43391E+09
 1.90000E-01	 1.78145E+09	 1.43391E+09
 1.90000E-01	 1.74740E+09	 1.40650E+09
 2.20000E-01	 1.74740E+09	 1.40650E+09
 2.20000E-01	 2.08884E+09	 1.68133E+09
 2.55000E-01	 2.08884E+09	 1.68133E+09
 2.55000E-01	 2.68678E+09	 2.16261E+09
 2.90000E-01	 2.68678E+09	 2.16261E+09
 2.90000E-01	 3.19142E+09	 2.56880E+09
 3.20000E-01	 3.19142E+09	 2.56880E+09
 3.20000E-01	 3.46925E+09	 2.79243E+09
 3.60000E-01	 3.46925E+09	 2.79243E+09
 3.60000E-01	 3.64117E+09	 2.93081E+09
 4.00000E-01	 3.64117E+09	 2.93081E+09
 4.00000E-01	 3.82509E+09	 3.07885E+09
 4.50000E-01	 3.82509E+09	 3.07885E+09
 4.50000E-01	 5.18325E+09	 4.17205E+09
 5.00000E-01	 5.18325E+09	 4.17205E+09
 5.00000E-01	 8.69401E+09	 6.99789E+09
 5.50000E-01	 8.69401E+09	 6.99789E+09
 5.50000E-01	 1.26716E+10	 1.01995E+10
 6.00000E-01	 1.26716E+10	 1.01995E+10
 6.00000E-01	 1.13229E+10	 9.11388E+09
 6.60000E-01	 1.13229E+10	 9.11388E+09
 6.60000E-01	 8.28818E+09	 6.67123E+09
 7.20000E-01	 8.28818E+09	 6.67123E+09
 7.20000E-01	 1.05488E+10	 8.49085E+09
 7.80000E-01	 1.05488E+10	 8.49085E+09
 7.80000E-01	 9.52591E+09	 7.66749E+09
 8.40000E-01	 9.52591E+09	 7.66749E+09
 8.40000E-01	 5.80584E+09	 4.67318E+09
 9.20000E-01	 5.80584E+09	 4.67318E+09
 9.20000E-01	 6.52293E+09	 5.25036E+09
 1.00000E+00	 6.52293E+09	 5.25036E+09
 1.00000E+00	 6.84285E+09	 5.50787E+09
 1.20000E+00	 6.84285E+09	 5.50787E+09
 1.20000E+00	 5.59428E+09	 4.50289E+09
 1.40000E+00	 5.59428E+09	 4.50289E+09
 1.40000E+00	 6.50858E+09	 5.23881E+09
 1.60000E+00	 6.50858E+09	 5.23881E+09
 1.60000E+00	 7.29639E+09	 5.87293E+09
 1.80000E+00	 7.29639E+09	 5.87293E+09
 1.80000E+00	 7.19876E+09	 5.79434E+09
 2.00000E+00	 7.19876E+09	 5.79434E+09
 2.00000E+00	 1.58572E+10	 1.27636E+10
 2.30000E+00	 1.58572E+10	 1.27636E+10
 2.30000E+00	 1.47467E+10	 1.18698E+10
 2.60000E+00	 1.47467E+10	 1.18698E+10
 2.60000E+00	 1.73243E+09	 1.39445E+09
 2.90000E+00	 1.73243E+09	 1.39445E+09
 2.90000E+00	 1.70862E+09	 1.37528E+09
 3.30000E+00	 1.70862E+09	 1.37528E+09
 3.30000E+00	 3.02728E+09	 2.43668E+09
 3.70000E+00	 3.02728E+09	 2.43668E+09
 3.70000E+00	 4.53459E+09	 3.64993E+09
 4.10000E+00	 4.53459E+09	 3.64993E+09
 4.10000E+00	 5.79165E+09	 4.66175E+09
 4.50000E+00	 5.79165E+09	 4.66175E+09
 4.50000E+00	 4.87216E+09	 3.92164E+09
 5.00000E+00	 4.87216E+09	 3.92164E+09
 5.00000E+00	 2.02981E+09	 1.63381E+09
 5.50000E+00	 2.02981E+09	 1.63381E+09
 5.50000E+00	 6.64742E+08	 5.35057E+08
 6.00000E+00	 6.64742E+08	 5.35057E+08
 6.00000E+00	 1.30206E+09	 1.04804E+09
 6.70000E+00	 1.30206E+09	 1.04804E+09
 6.70000E+00	 2.16435E+09	 1.74210E+09
 7.40000E+00	 2.16435E+09	 1.74210E+09
 7.40000E+00	 1.95394E+09	 1.57275E+09
 8.20000E+00	 1.95394E+09	 1.57275E+09
 8.20000E+00	 1.39832E+09	 1.12552E+09
 9.00000E+00	 1.39832E+09	 1.12552E+09
 9.00000E+00	 1.25930E+09	 1.01362E+09
 1.00000E+01	 1.25930E+09	 1.01362E+09
 1.00000E+01	 1.37474E+09	 1.10654E+09
 1.10000E+01	 1.37474E+09	 1.10654E+09
 1.10000E+01	 2.35869E+09	 1.89853E+09
 1.20000E+01	 2.35869E+09	 1.89853E+09
 1.20000E+01	 2.11180E+09	 1.69981E+09
 1.30000E+01	 2.11180E+09	 1.69981E+09
 1.30000E+01	 1.02732E+10	 8.26898E+09
 1.40000E+01	 1.02732E+10	 8.26898E+09
 1.40000E+01	 1.66368E+10	 1.33911E+10
 1.50000E+01	 1.66368E+10	 1.33911E+10
 1.50000E+01	 6.77018E+09	 5.44938E+09
 1.60000E+01	 6.77018E+09	 5.44938E+09
 1.60000E+01	 3.69633E+08	 2.97521E+08
 1.70000E+01	 3.69633E+08	 2.97521E+08
 1.70000E+01	 3.91106E+07	 3.14804E+07
 1.80000E+01	 3.91106E+07	 3.14804E+07
 1.80000E+01	 5.27641E+06	 4.24703E+06
 1.90000E+01	 5.27641E+06	 4.24703E+06
 1.90000E+01	 1.15571E+06	 9.30245E+05
 2.00000E+01	 1.15571E+06	 9.30245E+05
